type,ethnicity/lep,sum
Multiple Out of School,Asian,6009
Multiple Out of School,Hawaiaan/Pacific Islander,2773
Multiple Out of School,Native American/Alaskan,13045
Multiple Out of School,Two or More Races,40750
Multiple Out of School,Hispanic,169565
Multiple Out of School,White,262504
Multiple Out of School,Black,400749
Single Out of School,Asian,20525
Single Out of School,Hawaiaan/Pacific Islander,6532
Single Out of School,Native American/Alaskan,20998
Single Out of School,Two or More Races,63491
Single Out of School,Hispanic,355980
Single Out of School,White,532286
Single Out of School,Black,523892
